Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
 199,97;    9,473;    9,002;    0,000; 0,00000; 0,00000
 200,75;   12,304;    7,002;    0,000; 9,49142; 0,15925
 201,54;   12,206;   11,002;    0,000; 2,00658; 0,03380
 202,32;   11,286;   10,002;    0,000; 2,00092; 0,03384
 203,11;   15,117;    9,002;    0,000; 8,95219; 0,15197
 203,89;   13,054;   10,002;    0,000; 4,19412; 0,07147
 204,68;   13,135;   10,002;    0,000; 4,05902; 0,06944
 205,46;   14,814;   11,002;    0,000; 4,62816; 0,07948
 206,25;    8,823;   10,002;    0,000;-1,34782;-0,02323
 207,03;    9,805;    8,002;    0,000; 1,94941; 0,03373
 207,82;   12,707;    9,002;    0,000; 3,78096; 0,06567
 208,60;   11,609;    7,002;    0,000; 4,44922; 0,07757
 209,39;   12,582;    6,002;    0,000; 6,03589; 0,10563
 210,17;   12,324;    8,002;    0,000; 3,75833; 0,06602
 210,95;   13,333;   11,002;    0,000; 1,92446; 0,03393
 211,74;    7,191;    8,002;    0,000;-0,63432;-0,01123
 212,52;   10,173;    7,002;    0,000; 2,35536; 0,04184
 213,31;    9,995;    9,003;    0,000; 0,69945; 0,01247
 214,09;   13,959;    8,003;    0,000; 3,99199; 0,07143
 214,88;    9,816;   10,003;    0,000;-0,11830;-0,00212
 215,66;   11,772;   10,003;    0,000; 1,07200; 0,01932
 216,44;    9,621;    7,003;    0,000; 1,51131; 0,02734
 217,23;   11,629;    8,003;    0,000; 1,98918; 0,03611
 218,01;   12,273;    9,003;    0,000; 1,70873; 0,03114
 218,80;    9,362;    8,003;    0,000; 0,67809; 0,01240
 219,58;   11,327;    5,003;    0,000; 3,00299; 0,05511
 220,37;   11,140;   10,003;    0,000; 0,51533; 0,00949
 221,15;   10,051;   10,003;    0,000; 0,02041; 0,00038
 221,93;    9,855;   10,003;    0,000;-0,06098;-0,00113
 222,72;   12,632;    9,003;    0,000; 1,41476; 0,02633
 223,50;   14,712;    6,003;    0,000; 3,23154; 0,06036
 224,28;   11,552;    9,003;    0,000; 0,89955; 0,01686
 225,07;   10,436;    7,003;    0,000; 1,14977; 0,02163
 225,85;   12,302;    7,003;    0,000; 1,68849; 0,03187
 226,64;   12,276;    6,003;    0,000; 1,89690; 0,03593
 227,42;   11,133;   12,004;    0,000;-0,24995;-0,00475
 228,20;    8,973;    7,004;    0,000; 0,53677; 0,01024
 228,99;   14,008;    8,004;    0,000; 1,55375; 0,02974
 229,77;   10,848;    6,004;    0,000; 1,18790; 0,02281
 230,55;   11,750;    8,004;    0,000; 0,87724; 0,01690
 231,34;   10,634;    7,004;    0,000; 0,80980; 0,01566
 232,12;   10,572;    7,004;    0,000; 0,76065; 0,01476
 232,90;   13,447;    8,004;    0,000; 1,11269; 0,02166
 233,69;   13,349;    6,004;    0,000; 1,44193; 0,02816
 234,47;   14,278;    7,004;    0,000; 1,37392; 0,02692
 235,25;   15,073;    7,004;    0,000; 1,47220; 0,02895
 236,04;   13,913;    7,004;    0,000; 1,21959; 0,02406
 236,82;   11,842;    6,004;    0,000; 1,00028; 0,01980
 237,60;   12,583;    7,004;    0,000; 0,92912; 0,01845
 238,39;   13,396;    8,004;    0,000; 0,87841; 0,01750
 239,17;   14,325;    8,004;    0,000; 1,00797; 0,02015
 239,95;   14,942;    9,005;    0,000; 0,92889; 0,01863
 240,74;   13,577;    8,005;    0,000; 0,86118; 0,01733
 241,52;   14,016;    9,005;    0,000; 0,76531; 0,01545
 242,30;   17,339;    6,005;    0,000; 1,71231; 0,03468
 243,08;   12,600;    7,006;    0,000; 0,83683; 0,01700
 243,87;   15,244;    7,006;    0,000; 1,22103; 0,02489
 244,65;   19,244;    6,006;    0,000; 1,93926; 0,03965
 245,43;   14,814;    9,006;    0,000; 0,84024; 0,01724
 246,22;   14,464;    8,005;    0,000; 0,92364; 0,01901
 247,00;   11,909;   13,005;    0,000;-0,15454;-0,00319
 247,78;   16,069;    8,005;    0,000; 1,12104; 0,02322
 248,56;   12,007;    9,005;    0,000; 0,40867; 0,00849
 249,35;   14,016;    8,005;    0,000; 0,80092; 0,01669
 250,13;   16,873;   11,005;    0,000; 0,76444; 0,01598
 250,91;   16,989;    8,005;    0,000; 1,14166; 0,02394
 251,69;   18,793;    6,005;    0,000; 1,58064; 0,03325
 252,48;   14,775;   12,005;    0,000; 0,33308; 0,00703
 253,26;   17,731;    8,005;    0,000; 1,13888; 0,02411
 254,04;   12,686;   11,005;    0,000; 0,19114; 0,00406
 254,82;   16,535;   11,005;    0,000; 0,61178; 0,01303
 255,61;   16,508;   10,005;    0,000; 0,70286; 0,01502
 256,39;   17,473;    9,005;    0,000; 0,89342; 0,01914
 257,17;   13,482;    9,005;    0,000; 0,46118; 0,00991
 257,95;   15,384;    8,005;    0,000; 0,74488; 0,01606
 258,73;   16,428;   11,005;    0,000; 0,53615; 0,01159
 259,52;   13,250;   10,006;    0,000; 0,31480; 0,00683
 260,30;   14,081;    9,006;    0,000; 0,48434; 0,01054
 261,08;   15,134;   11,006;    0,000; 0,38965; 0,00850
 261,86;   14,107;   11,006;    0,000; 0,28896; 0,00632
 262,64;   15,018;    6,006;    0,000; 0,83223; 0,01827
 263,43;   14,018;   12,006;    0,000; 0,18449; 0,00406
 264,21;   15,903;   11,006;    0,000; 0,44550; 0,00984
 264,99;   15,680;   10,006;    0,000; 0,51281; 0,01136
 265,77;   13,814;    7,006;    0,000; 0,61387; 0,01364
 266,55;   11,671;    7,006;    0,000; 0,42031; 0,00936
 267,34;   14,644;    7,006;    0,000; 0,68611; 0,01533
 268,12;   15,662;    9,006;    0,000; 0,59846; 0,01341
 268,90;   12,537;   10,006;    0,000; 0,22804; 0,00513
 269,68;   12,466;   10,006;    0,000; 0,22191; 0,00500
 270,46;   10,341;   11,006;    0,000;-0,06001;-0,00136
 271,24;   15,368;   10,006;    0,000; 0,48434; 0,01098
 272,02;   15,306;    8,006;    0,000; 0,65971; 0,01500
 272,81;   15,244;    8,006;    0,000; 0,65305; 0,01489
 273,59;   14,244;    9,006;    0,000; 0,47369; 0,01083
 274,37;   13,083;   10,006;    0,000; 0,27810; 0,00638
 275,15;   14,261;   10,006;    0,000; 0,38311; 0,00881
 275,93;   13,306;   12,006;    0,000; 0,11698; 0,00270
 276,71;   16,119;    9,006;    0,000; 0,63837; 0,01476
 277,49;   12,950;    8,006;    0,000; 0,44108; 0,01023
 278,27;   16,994;    9,006;    0,000; 0,71074; 0,01653
 279,06;   18,030;    6,006;    0,000; 1,06600; 0,02486
 279,84;   17,976;    6,006;    0,000; 1,05806; 0,02475
 280,62;   17,941;    6,006;    0,000; 1,05095; 0,02465
 281,40;   23,021;   10,006;    0,000; 1,14400; 0,02691
 282,18;   25,878;    8,006;    0,000; 1,56869; 0,03700
 282,96;   25,932;    7,006;    0,000; 1,65887; 0,03923
 283,74;   26,718;    8,006;    0,000; 1,64505; 0,03901
 284,52;   26,843;    7,006;    0,000; 1,75064; 0,04163
 285,30;   33,825;    5,006;    0,000; 2,56459; 0,06115
 286,08;   35,638;    6,006;    0,000; 2,66130; 0,06363
 286,86;   42,807;    7,006;    0,000; 3,25228; 0,07798
 287,65;   48,620;    5,006;    0,000; 4,01547; 0,09654
 288,43;   49,620;    8,006;    0,000; 3,88551; 0,09366
 289,21;   56,558;    9,006;    0,000; 4,50081; 0,10879
 289,99;   62,415;    8,006;    0,000; 5,21589; 0,12642
 290,77;   67,469;    5,006;    0,000; 6,07065; 0,14753
 291,55;   76,522;    6,006;    0,000; 6,94896; 0,16933
 292,33;   74,406;    7,006;    0,000; 6,70312; 0,16377
 293,11;   89,415;    8,006;    0,000; 8,14897; 0,19963
 293,89;   88,353;    6,007;    0,000; 8,28216; 0,20343
 294,67;  101,489;    9,007;    0,000; 9,30984; 0,22928
 295,45;  105,302;    6,007;    0,000; 9,98716; 0,24661
 296,23;  108,631;   10,007;    0,000; 9,85171; 0,24391
 297,01;  123,801;    8,007;    0,000;11,47153; 0,28476
 297,79;  125,783;    8,007;    0,000;11,52501; 0,28684
 298,57;  136,059;    8,007;    0,000;12,31745; 0,30737
 299,35;  151,086;   10,007;    0,000;13,33478; 0,33363
 300,13;  161,032;    9,007;    0,000;14,10352; 0,35378
 300,91;  170,282;    9,007;    0,000;14,69159; 0,36949
 301,69;  183,193;    5,007;    0,000;15,93441; 0,40178
 302,47;  185,166;    9,007;    0,000;15,45177; 0,39062
 303,25;  212,014;    8,007;    0,000;17,59540; 0,44596
 304,03;  219,587;    7,007;    0,000;18,03923; 0,45838
 304,81;  233,436;    9,007;    0,000;18,73795; 0,47736
 305,59;  243,168;    9,007;    0,000;19,23493; 0,49127
 306,37;  260,346;    8,007;    0,000;20,40164; 0,52240
 307,15;  281,355;   10,007;    0,000;21,61904; 0,55498
 307,93;  289,910;   11,007;    0,000;21,85188; 0,56238
 308,71;  307,198;    9,008;    0,000;22,96567; 0,59254
 309,49;  322,848;   11,007;    0,000;23,67122; 0,61229
 310,27;  330,937;   11,007;    0,000;23,86003; 0,61873
 311,05;  352,892;   11,007;    0,000;25,11503; 0,65291
 311,83;  366,981;   11,007;    0,000;25,87114; 0,67425
 312,60;  390,963;    8,007;    0,000;27,35648; 0,71474
 313,38;  409,061;   11,007;    0,000;28,09733; 0,73593
 314,16;  422,177;    9,007;    0,000;28,80939; 0,75645
 314,94;  439,142;   10,007;    0,000;29,58302; 0,77869
 315,72;  451,204;    8,007;    0,000;30,15682; 0,79576
 316,50;  480,061;   11,007;    0,000;31,72088; 0,83910
 317,28;  497,382;   12,007;    0,000;32,59102; 0,86424
 318,06;  509,240;    7,007;    0,000;33,63843; 0,89420
 318,84;  515,320;   10,007;    0,000;34,04390; 0,90720
 319,62;  516,427;   12,007;    0,000;34,11942; 0,91143
 320,40;  525,044;   10,007;    0,000;35,03090; 0,93806
 321,17;  537,162;   10,008;    0,000;36,17640; 0,97109
 321,95;  557,759;   10,007;    0,000;37,73451; 1,01537
 322,73;  574,106;   12,007;    0,000;38,80653; 1,04674
 323,51;  579,364;   10,007;    0,000;39,32577; 1,06331
 324,29;  601,409;    7,007;    0,000;41,03976; 1,11232
 325,07;  608,596;   10,007;    0,000;41,29618; 1,12196
 325,85;  614,436;   11,007;    0,000;41,59924; 1,13290
 326,63;  629,311;    9,007;    0,000;42,69812; 1,16561
 327,40;  643,302;    9,007;    0,000;43,58132; 1,19255
 328,18;  660,525;    9,007;    0,000;44,69939; 1,22606
 328,96;  673,444;    8,007;    0,000;45,61913; 1,25425
 329,74;  690,400;    8,007;    0,000;46,70483; 1,28714
 330,52;  696,400;    7,007;    0,000;47,16646; 1,30293
 331,30;  712,480;    8,007;    0,000;47,89526; 1,32618
 332,07;  727,427;   11,007;    0,000;48,65198; 1,35030
