RB,,lig,,jug,,PN,,blank,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.002844559727,800,-0.002112429822,800,0.01000614371,800,0.005086337682,800,-8.888331649E-5,
799,0.002564755501,799,-0.002200675895,799,0.009831164032,799,0.004874635488,799,-0.0003169873962,
798,0.002533353167,798,-0.002276131883,798,0.009827245027,798,0.00503278058,798,-0.0003601315548,
797,0.002743525896,797,-0.002033080673,797,0.009967762977,797,0.005012589972,797,-0.0001521828235,
796,0.002580743749,796,-0.002062915592,796,0.009921624325,796,0.005056795198,796,-0.0002635944693,
795,0.002647047397,795,-0.002053074073,795,0.009901417419,795,0.005041081924,795,-0.0002312554279,
794,0.00263472856,794,-0.002154571936,794,0.009949116036,794,0.00498627359,794,-0.000204761498,
793,0.002685334068,793,-0.002154262736,793,0.00999170728,793,0.005022174679,793,-0.0001829234971,
792,0.002609284827,792,-0.001988968812,792,0.009892943315,792,0.005157346837,792,-0.0002473476343,
791,0.002714116359,791,-0.00196350948,791,0.0100078918,791,0.005056873895,791,-0.000130497443,
790,0.00252067321,790,-0.002220815979,790,0.009821817279,790,0.005034325644,790,-0.0003719256201,
789,0.002590665361,789,-0.002090120921,789,0.009872579016,789,0.004850238096,789,-0.0002507626195,
788,0.002629988827,788,-0.002078476362,788,0.009960796684,788,0.005029821303,788,-0.000164189536,
787,0.002651553135,787,-0.00200710888,787,0.009951658547,787,0.005065830424,787,-0.0001866494858,
786,0.002615639241,786,-0.002089502523,786,0.009902424179,786,0.005014449358,786,-0.0001351037354,
785,0.00259647239,785,-0.002104650252,785,0.01005014498,785,0.00501764426,785,-0.0002351879812,
784,0.002619858133,784,-0.002081567887,784,0.0099249091,784,0.004898432177,784,-0.0001718488202,
783,0.002580926055,783,-0.002071314491,783,0.009900067002,783,0.004998868797,783,-0.0002974831732,
782,0.002646761015,782,-0.002057093196,782,0.009894055314,782,0.005051950458,782,-0.0001490775903,
781,0.002704791259,781,-0.001984588103,781,0.009991442785,781,0.005055224057,781,-0.0001182827691,
780,0.002622280037,780,-0.002003346803,780,0.009984634817,780,0.005013113841,780,-0.0001552880422,
779,0.002707578475,779,-0.002115881769,779,0.009921968915,779,0.004958597012,779,-0.0002811341546,
778,0.00255131931,778,-0.002049363917,778,0.009882509708,778,0.005015392322,778,-0.0002275815641,
777,0.002593165264,777,-0.002006129595,777,0.009988051839,777,0.005016282666,777,-0.0002416041825,
776,0.002593139187,776,-0.002086359775,776,0.01006450411,776,0.004965744913,776,-0.0001222681021,
775,0.002663715975,775,-0.001955366461,775,0.01009791251,775,0.00500153983,775,-0.0001523380924,
774,0.002625717781,774,-0.002089914866,774,0.009914447553,774,0.004859819077,774,-0.0002555228712,
