RB,,RB2,,Lig,,Jug,,PN,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.003537552431,800,0.00284534134,800,0.01287957281,800,0.002239828464,800,0.00442115264,
799,0.003571219742,799,0.002674082061,799,0.01295562834,799,0.002251771744,799,0.004351596814,
798,0.003650152357,798,0.002825018018,798,0.01295965537,798,0.002393034287,798,0.004516404588,
797,0.003551645437,797,0.002844403265,797,0.01286120061,797,0.002298559295,797,0.004482218996,
796,0.003710014047,796,0.002838410437,796,0.0129262656,796,0.002273187274,796,0.004377012141,
795,0.003639084287,795,0.002776845125,795,0.01297440473,795,0.002423333004,795,0.004542875569,
794,0.00360786519,794,0.003080639755,794,0.01315169595,794,0.002390249167,794,0.004443433601,
793,0.003563807346,793,0.002943427535,793,0.01311159506,793,0.002429684624,793,0.004608302377,
792,0.003603140824,792,0.002837837208,792,0.01302468218,792,0.002357037505,792,0.004531784914,
791,0.003496998455,791,0.002954973141,791,0.01312253345,791,0.002406309126,791,0.004490091465,
790,0.003565321211,790,0.002896414371,790,0.0130956145,790,0.002356699202,790,0.004418014549,
789,0.003366959281,789,0.002840234432,789,0.01299328823,789,0.002406100975,789,0.004435065202,
788,0.003443089081,788,0.002818061505,788,0.01311340928,788,0.002256481443,788,0.004453476053,
787,0.003579650074,787,0.002934279852,787,0.01315094903,787,0.002375829499,787,0.004470136017,
786,0.003470877884,786,0.002957110293,786,0.01317416225,786,0.002445667982,786,0.004544576164,
785,0.003638901515,785,0.002933341777,785,0.01325902343,785,0.002554027364,785,0.004622168373,
784,0.003578345058,784,0.003041536082,784,0.01330562402,784,0.002526687691,784,0.004534557462,
783,0.003504252993,783,0.002920780331,783,0.01326900534,783,0.002337960294,783,0.004478531424,
782,0.00362297846,782,0.002955207834,782,0.01324463915,782,0.0024427264,782,0.004578922875,
781,0.003595414804,781,0.003060149029,781,0.01340118982,781,0.002498542657,781,0.004533537198,
780,0.003665632568,780,0.003033116227,780,0.01336496323,780,0.002462016651,780,0.00454763649,
779,0.003594135866,779,0.00290126144,779,0.01345538814,779,0.002362268977,779,0.004591454286,
778,0.00363420276,778,0.003033611458,778,0.01348192897,778,0.002497683512,778,0.004666385707,
777,0.00368646509,777,0.003160865279,777,0.01355379075,777,0.002463838784,777,0.004710948095,
776,0.003715340048,776,0.003151426092,776,0.01358760241,776,0.002472508,776,0.004697890487,
775,0.003652005922,775,0.003138832282,775,0.01359473355,775,0.002448661719,775,0.00475606462,
