RB,,lig,,jug,,pn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.002020588843,800,0.003865880892,800,0.002616264159,800,0.00387139176,
799,0.002087977482,799,0.00401182333,799,0.002604779555,799,0.003861937206,
798,0.002060770988,798,0.003960906528,798,0.002525958698,798,0.003935411107,
797,0.00212902436,797,0.003914644942,797,0.002554053441,797,0.003828586778,
796,0.002023449633,796,0.003762102686,796,0.002519136993,796,0.003681974951,
795,0.002097185235,795,0.004026689567,795,0.002515231492,795,0.003779649734,
794,0.002102829749,794,0.003957040142,794,0.002508592326,794,0.003728786018,
793,0.002273109043,793,0.003950378858,793,0.002620248822,793,0.003791478695,
792,0.002076090779,792,0.003927861806,792,0.002442544093,792,0.0035773532,
791,0.002222343581,791,0.003905868623,791,0.002471935237,791,0.003771241754,
790,0.002334837336,790,0.004091802984,790,0.002642828273,790,0.003925458994,
789,0.002264834242,789,0.003877738491,789,0.002600691048,789,0.003750300501,
788,0.002108084271,788,0.003755783895,788,0.00240636128,788,0.003609431442,
787,0.002308708383,787,0.003906782717,787,0.002545148367,787,0.003739464795,
786,0.002208787948,786,0.003862485755,786,0.002593868412,786,0.00370706385,
785,0.002305299276,785,0.00396871753,785,0.002577957464,785,0.003643548116,
784,0.002403862309,784,0.003921096679,784,0.002590144519,784,0.003607212799,
783,0.002281748457,783,0.004013208207,783,0.002435333328,783,0.003651692532,
782,0.002337830141,782,0.003966470715,782,0.002481411677,782,0.003694506129,
781,0.002313444857,781,0.003849166213,781,0.002512159292,781,0.003498355392,
780,0.002420105273,780,0.003986951895,780,0.002640926978,780,0.003605698701,
779,0.002509972313,779,0.003936873749,779,0.002621342428,779,0.003639501985,
778,0.002551944228,778,0.004001007415,778,0.002635301556,778,0.003698578803,
777,0.002415445866,777,0.003993561491,777,0.002488232683,777,0.003499790793,
776,0.002596915234,776,0.004003724549,776,0.002540201182,776,0.003713669255,
775,0.002552647376,775,0.004036513623,775,0.002682390856,775,0.003632610664,
774,0.002654183656,774,0.004083545879,774,0.002672805917,774,0.003662734991,
773,0.002493622014,773,0.004028256983,773,0.002679734025,773,0.003543033032,
772,0.002598894294,772,0.00409830967,772,0.002769368235,772,0.003593535628,
771,0.002593503799,771,0.004121933132,771,0.002771530533,771,0.003557987278,
770,0.002650927985,770,0.003996958025,770,0.002655902412,770,0.003490709467,
769,0.002712006448,769,0.004228437785,769,0.00278479117,769,0.003639789065,
768,0.00273456471,768,0.004200521857,768,0.002748944331,768,0.003518344834,
767,0.002678666264,767,0.004229038954,767,0.00277530821,767,0.003588994034,
766,0.002661319915,766,0.00414819736,766,0.002847868716,766,0.003443245543,
765,0.002705676947,765,0.00411924161,765,0.002840051893,765,0.003419267712,
764,0.002637749771,764,0.004151072353,764,0.002852584934,764,0.003462058259,
763,0.002801986178,763,0.004131262656,763,0.002807848155,763,0.003457439831,
762,0.002731985878,762,0.004164009355,762,0.002881612862,762,0.003462971654,
761,0.002819077577,761,0.004050178453,761,0.00284792087,761,0.003368315753,
760,0.002821396338,760,0.004227522761,760,0.00280709262,760,0.003312126966,
759,0.002840364585,759,0.004134947434,759,0.002909965347,759,0.003359080991,
758,0.002709375694,758,0.004074139055,758,0.002762073884,758,0.003297102638,
757,0.002697211457,757,0.004101889674,757,0.002857665997,757,0.003358715679,
756,0.002887997311,756,0.004115504678,756,0.002928233705,756,0.003370611463,
755,0.002979942132,755,0.004195398651,755,0.002988699591,755,0.003447394352,
754,0.002816393971,754,0.004132987466,754,0.002886016853,754,0.003390856087,
753,0.002883463167,753,0.004246500321,753,0.00289396476,753,0.00331434398,
752,0.002748996485,752,0.004114668351,752,0.002774057677,752,0.003199223429,
751,0.002895319834,751,0.004046546761,751,0.002809229074,751,0.003267942695,
750,0.002825122327,750,0.003975823056,750,0.002831036691,750,0.003280644538,
749,0.002937172772,749,0.004148014821,749,0.00293594785,749,0.003279314376,
748,0.002824470866,748,0.004014645237,748,0.002881248016,748,0.003233959666,
747,0.002900609747,747,0.004103353247,747,0.00285172509,747,0.003192078089,
746,0.002954999218,746,0.004143911414,746,0.003007180057,746,0.003291207831,
745,0.002913431264,745,0.00401623873,745,0.002901313361,745,0.003229265567,
