RB,,RB1,,Lig,,jug,,pn,,rb3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.0007026732783,800,0.001634171465,800,0.003066536039,800,-0.001612958498,800,-0.0004067368864,800,0.002303790068,
799,0.0005824622931,799,0.001541186241,799,0.003048209473,799,-0.00160671724,799,-0.0005050520995,799,0.002290752251,
798,0.0006043399335,798,0.001598367584,798,0.002971054288,798,-0.001578243799,798,-0.0005398010253,798,0.002316333586,
797,0.0006774720969,797,0.001673512277,797,0.003009447595,797,-0.001601249678,797,-0.0004820914473,797,0.002237981185,
796,0.0006451430963,796,0.001516611781,796,0.003017893061,796,-0.001557506504,796,-0.0005470917094,796,0.002340745181,
795,0.0007092330488,795,0.001581687829,795,0.003069012426,795,-0.001657160348,795,-0.000523874769,795,0.002229602775,
794,0.0005223045009,794,0.001463545021,794,0.00292333425,794,-0.001617239672,794,-0.0006878664135,794,0.002182510681,
793,0.000665079453,793,0.001555760158,793,0.003008926287,793,-0.001609915285,793,-0.0004245293967,793,0.002323568333,
792,0.000537803222,792,0.001573010464,792,0.002926982706,792,-0.001678202301,792,-0.0005638960865,792,0.002288280055,
791,0.000537025684,791,0.001633703709,791,0.003162742592,791,-0.001450399519,791,-0.0005191691453,791,0.002202803968,
790,0.0007035029703,790,0.001614684239,790,0.003146446077,790,-0.001591449138,790,-0.0004526649136,790,0.002262414433,
789,0.0005635665148,789,0.001457882812,789,0.003092214931,789,-0.001451070304,789,-0.0004584573035,789,0.002211363753,
788,0.0004664826265,788,0.001410822268,788,0.0029968319,788,-0.001723016263,788,-0.0006634680321,788,0.002172962762,
787,0.0005329824635,787,0.001518326229,787,0.003038042923,787,-0.001661389484,787,-0.0005359229399,787,0.002227755496,
786,0.0006240670336,786,0.001451857155,786,0.003084915224,786,-0.00158144196,786,-0.0004935719189,786,0.00230441452,
785,0.0005588232307,785,0.001432507881,785,0.002987943823,785,-0.001697954023,785,-0.0006151325069,785,0.002183733508,
784,0.0005900312099,784,0.001633573789,784,0.003131192876,784,-0.001572259935,784,-0.0005166353658,784,0.002348813228,
783,0.0007024399238,783,0.00161395676,783,0.003200527281,783,-0.001516854274,783,-0.0005174627295,783,0.002393997274,
782,0.0006062840694,782,0.001502740546,782,0.003113854444,782,-0.001533156843,782,-0.0005106369499,782,0.00216206233,
781,0.0006509501836,781,0.001496064826,781,0.003143995069,781,-0.001522993669,781,-0.0006398954429,781,0.002256377367,
