AbsoluteIrradiance:245,
180,0
180,0
180,0
181,0
181,0
181,0
181,0
182,0
182,0
182,0
182,0
182,0
183,0
183,0
183,0
183,0
184,0
184,0
184,0
184,0
184,0
185,0
185,0
185,0
185,0
185,0
186,0
186,0
186,0
186,0
187,0
187,0
187,0
187,0
187,0
188,0
188,0
188,0
188,0
189,0
189,0
189,0
189,0
189,0
190,0
190,0
190,0
190,0
190,0
191,0
191,0
191,0
191,0
192,0
192,0
192,0
192,0
192,0
193,0
193,0
193,0
193,0
193,0
194,0
194,0
194,0
194,0
195,0
195,0
195,0
195,0
195,0
196,0
196,0
196,0
196,0
197,0
197,0
197,0
197,0
197,0
198,0
198,0
198,0
198,0
198,0
199,0
199,0
199,0
199,0
200,0
200,0
200,0
200,7.72127321
200,83.75331927
201,51.91916057
201,114.0088531
201,68.80929351
201,-32.00156864
201,95.43727921
202,73.93690404
202,18.59666504
202,51.91305588
202,-17.14661655
203,-32.22632111
203,-52.42203824
203,84.86232856
203,43.8314324
203,41.15644909
204,-0.81263258
204,23.7677058
204,41.13653931
204,-36.12621453
205,21.50274513
205,27.91302078
205,20.6154466
205,54.77640911
205,-18.22371365
206,37.78240548
206,-29.06058758
206,15.51319566
206,53.13998753
206,-14.4594573
207,78.24503776
207,-13.98995835
207,44.88401246
207,-5.60685163
208,-10.3221201
208,6.64128313
208,29.86665313
208,2.96869766
208,-1.58304388
209,-1.56126457
209,12.43685213
209,-32.00943635
209,22.09864416
209,11.71493749
210,-29.02002811
210,68.5978112
210,37.85509775
210,22.23313283
211,-26.88571035
211,-29.21808493
211,4.03399829
211,5.69781503
211,-4.60784602
212,24.64513015
212,36.17234106
212,-16.29067862
212,34.04947445
213,32.73153604
213,-30.37778353
213,-15.94525623
213,-30.18659486
213,-21.03263131
214,-30.43001763
214,10.00515527
214,28.60950558
214,-6.88361453
214,25.09045938
215,4.20870226
215,8.55164164
215,18.9735329
215,-0.25226072
216,15.16918788
216,-4.34186818
216,-24.49319362
216,52.65453676
216,-10.86839737
217,-0.22954119
217,11.14661954
217,-0.22153604
217,38.38105454
217,-9.4074002
218,15.47552531
218,15.78548294
218,-17.38286325
218,6.53346706
219,35.00716332
219,10.11516725
219,16.90262448
219,-1.1022942
219,0.71105624
220,7.7880525
220,8.56078438
220,6.27201059
220,9.1864643
220,0.66290334
221,3.13451614
221,10.8217054
221,4.64151211
221,10.93328313
222,-11.8703616
222,11.00647265
222,-1.6724854
222,4.70720372
222,-6.43292634
223,-4.51337918
223,13.16625491
223,1.62990793
223,-5.74417944
223,4.34877458
224,-1.83461325
224,1.86353499
224,9.78550618
224,17.78599999
225,-5.2612176
225,-14.33605131
225,4.21817843
225,-9.90305833
225,4.38809646
226,-5.16740519
226,1.05330972
226,0.46030025
226,9.91602033
227,-9.99925597
227,1.55970515
227,3.47738322
227,-13.7177153
227,-4.94730313
228,-0.64298207
228,-19.00222167
228,-3.73249892
228,17.70045074
228,-6.12172206
229,-7.05293639
229,-13.54072808
229,-3.47202851
229,-6.74875404
230,-6.90363103
230,-10.0622387
230,6.75406459
230,1.71023457
230,3.69482145
231,-0.53214227
231,-0.74407902
231,-4.81120437
231,14.13721106
231,-1.34821586
232,-1.3319839
232,-6.04919696
232,0.32175899
232,2.52640491
233,1.50671541
233,3.44795925
233,-2.02139937
233,12.56865682
233,10.5341651
234,0.85939743
234,-1.56000958
234,-0.44333641
234,2.46893807
234,8.74165399
235,12.75477184
235,1.86614275
235,4.11887267
235,3.03378745
236,0.09966776
236,12.26922577
236,9.12625065
236,-7.20872817
236,0.260463
237,6.42857729
237,0.25507436
237,7.43670108
237,9.2593659
237,0.24806183
238,-1.15037453
238,2.39447739
238,6.63624878
238,4.31496182
239,3.52220348
239,5.27028351
239,-3.73638618
239,-6.02726034
239,2.82523215
240,2.37151917
240,8.0219517
240,3.31454469
240,-2.28532588
240,1.18328556
241,6.63253152
241,2.64760831
241,1.95319917
241,5.64946733
242,-3.07486052
242,3.19771128
242,2.39698082
242,-2.86475664
242,3.24435619
243,-4.71054111
243,-3.54766242
243,1.18615946
243,4.61610797
243,-1.760056
244,7.94458294
244,5.3704332
244,0.18903243
244,-0.04936391
245,0.18611331
245,4.39209634
245,4.47066661
245,2.71492551
245,-1.76220885
246,-3.45339476
246,0.85363577
246,-4.07443805
246,-3.48551867
246,0.61565855
247,6.29843876
247,2.23388649
247,-1.44124763
247,4.01203818
248,-0.04422026
248,3.11466709
248,-4.96145017
248,0.37235157
248,7.58845727
249,-1.78290246
249,-0.65189848
249,7.63137578
249,-0.14263245
249,0.15856306
250,2.04970278
250,2.33115382
250,-0.92748454
250,-2.68091301
251,4.03612708
251,-2.06810697
251,2.16805846
251,-0.42120438
251,-4.2095338
252,2.58696264
252,3.4082442
252,3.84121821
252,4.27082879
252,-1.03745952
253,-2.11286429
253,0.14220549
253,3.35376657
253,1.02587363
254,3.83654318
254,-0.3857212
254,5.00117303
254,-2.62874178
254,3.48909426
255,-4.0668024
255,5.17183765
255,1.66368436
255,4.34576789
255,1.63759619
256,0.13181768
256,1.95151891
256,0.70529196
256,4.12739649
257,-0.27668708
257,0.28883875
257,0.84575612
257,0.76176727
257,3.21083562
258,2.72383024
258,0.04568459
258,-1.66754749
258,-3.44237912
258,-1.57773198
259,0.89085225
259,3.34161926
259,2.63250861
259,1.55898213
259,2.30364101
260,0.04372481
260,2.13365556
260,3.01488185
260,0.85684482
261,4.23657299
261,3.55120527
261,-2.57982837
261,1.05682556
261,1.05237679
262,0.40095539
262,4.04763434
262,0.75420602
262,1.67210682
262,2.58542176
263,4.47109516
263,-0.23900886
263,1.85413229
263,-0.51469112
264,-1.27257279
264,1.14131543
264,-0.37168102
264,3.45619144
264,0.92224977
265,0.78488045
265,4.55685637
265,1.24831346
265,2.31477324
265,1.16966378
266,2.02532035
266,-1.01680153
266,2.46792327
266,-0.74558165
267,2.56885922
267,0.87659818
267,-0.28348844
267,-0.53805712
267,3.08700153
268,5.34795719
268,-0.27848247
268,-1.34255659
268,-1.0855323
268,4.1907269
269,2.68796214
269,0.28165976
269,3.34380987
269,0.88911167
270,1.73172264
270,1.00060205
270,2.55912107
270,-0.02490197
270,0.33240347
271,0.92308404
271,2.92291223
271,0.68060777
271,2.4889642
271,-0.83716788
272,-3.20387482
272,-1.51957878
272,2.32363349
272,0.48828369
272,1.90104705
273,1.55166065
273,1.54312138
273,0.31117766
273,2.69031727
274,1.84868527
274,1.1288998
274,2.20876085
274,1.93064428
274,2.45763256
275,0.08502578
275,1.2042147
275,0.88052967
275,-0.18043682
275,1.23965779
276,0.39691934
276,0.65552327
276,0.49763467
276,-2.55416463
277,0.23522296
277,0.74492822
277,-0.83468841
277,1.49849119
277,1.54570446
278,0.73398017
278,2.48229169
278,0.92504781
278,0.57373524
278,0.0286959
279,1.15455528
279,0.95609703
279,0.90235929
279,0.22130713
279,0.89221061
280,3.36168654
280,0.02766794
280,0.49935088
280,0.68533005
281,-0.95644498
281,1.84426497
281,-1.6427895
281,0.16489498
281,1.03319392
282,0.48086623
282,1.83576296
282,1.42078223
282,0.65293049
282,1.13884721
283,0.60226352
283,-1.12210719
283,1.34310702
283,1.16144046
284,1.11380402
284,0.93603109
284,-2.21718905
284,-0.66105134
284,2.03108973
285,0.40701042
285,2.26672716
285,0.31888356
285,1.53301743
285,0.94268092
286,2.48261533
286,1.39236503
286,0.93279123
286,2.20475687
287,1.33527016
287,1.24898592
287,-0.50531732
287,2.04958156
287,1.43589653
288,0.5444961
288,0.34262616
288,-0.05610796
288,1.28595741
288,1.74991902
289,1.93952104
289,0.41228061
289,2.15431985
289,1.87289644
289,1.55632007
290,0.21307553
290,-0.28157926
290,-0.8096089
290,0.66231301
291,0.02191096
291,0.80854115
291,0.28272196
291,1.20878496
291,0.2064012
292,1.16217976
292,-0.30830678
292,1.69714757
292,-1.75642856
292,1.35627954
293,0.66613296
293,-0.12167333
293,-0.08549073
293,-0.96629131
293,-0.36550587
294,-0.46931345
294,0.50715286
294,-0.22229954
294,0.26167534
295,-1.45533955
295,0.87702223
295,0.46452525
295,0.32634491
295,0.08770803
296,0.9321395
296,0.05324644
296,0.18648121
296,-0.34694602
296,0.88176572
297,3.25909402
297,-2.06102112
297,0.64275505
297,2.47548388
298,-0.11150665
298,0.70177705
298,-0.40266165
298,-0.69270103
298,1.11450852
299,1.71964302
299,-0.97254329
299,0.14600681
299,0.46264478
299,0.80939446
300,0.61753306
300,2.06420824
300,-0.98721225
300,1.49335258
300,0.42565828
301,-0.16950286
301,0.48751625
301,1.83025675
301,0.33000735
302,0.42323562
302,0.57785645
302,-0.04402501
302,1.19562215
302,0.85276691
303,1.40725913
303,1.71139234
303,-0.47336185
303,-1.6058682
303,-0.41002561
304,-0.25684019
304,2.08980637
304,0.41325731
304,1.83603965
304,-0.64762821
305,-0.94708865
305,0.04754035
305,0.76680446
305,0.04748046
306,2.21163099
306,-0.40285308
306,0.22758725
306,1.0655962
306,2.13622384
307,0.81932617
307,1.02379107
307,1.19763533
307,-1.04212176
307,2.36527869
308,0.54351122
308,0.22048794
308,0.82959715
308,1.92856108
308,1.17269041
309,2.03658661
309,0.07459551
309,0.27636145
309,0.70797093
310,0.13186501
310,-0.50073408
310,0.7636532
310,0.96429142
310,0.53254102
311,0.67525342
311,0.55989731
311,-0.26898454
311,0.72969734
311,0.18767398
312,-0.78151988
312,1.04173109
312,1.12827063
312,0.61529314
312,-0.04044499
313,0.7876544
313,0.73054913
313,1.21704146
313,2.16298073
314,1.76374183
314,1.56295719
314,1.07597216
314,0.90303306
314,1.15632841
315,0.72699925
315,1.14730831
315,0.32614677
315,0.69039942
315,0.99535508
316,1.21509355
316,0.21095453
316,0.51495107
316,0.37423384
316,0.56404002
317,-0.20202184
317,0.17816974
317,2.64188556
317,0.3666165
318,0.14991302
318,1.22046418
318,2.28004782
318,1.5264005
318,1.46742538
319,0.30475556
319,-0.53472513
319,1.03182004
319,-0.06281979
319,1.9212781
320,1.76318805
320,0.98886947
320,0.320982
320,0.650459
320,0.37039743
321,-0.4415701
321,0.59572925
321,0.97308742
321,-1.57341502
322,0.91975578
322,1.57171361
322,1.16715561
322,2.22959419
322,0.74537813
323,0.54436911
323,0.44275098
323,0.59373031
323,0.69477767
323,0.79383676
324,0.64157823
324,0.8913455
324,0.51514444
324,0.76457388
324,0.46132395
325,1.42494811
325,1.10096366
325,1.46852456
325,0.03885853
326,0.77484904
326,-0.84382023
326,1.19153811
326,0.25923323
326,0.08757896
327,1.28193292
327,0.72019293
327,1.08744077
327,-0.81368231
327,1.90862267
328,0.86556948
328,1.05877007
328,1.25276626
328,0.66941329
328,1.39754037
329,0.8380267
329,1.17750393
329,1.22798251
329,2.28628252
330,0.95750979
330,0.15930667
330,0.52155925
330,0.7382781
330,1.72589694
331,1.50695384
331,1.74484838
331,2.0088024
331,0.56535022
331,0.34852229
332,0.87496506
332,0.99175941
332,1.1102265
332,2.63421361
332,1.72762585
333,0.63214555
333,1.46363757
333,2.46185447
333,2.43217151
333,3.85750199
334,1.81193684
334,1.50075813
334,2.88973072
334,0.69475787
335,1.09081375
335,1.60171814
