RB,,lig,,jug,,pn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.00757528143,800,0.001706333715,800,0.003286486957,800,0.005597570911,
799,0.007594063412,799,0.001793609816,799,0.003448490053,799,0.005626861472,
798,0.007577494252,798,0.001802161685,798,0.003503991989,798,0.005671365187,
797,0.007613319904,797,0.001713142614,797,0.003426416544,797,0.005630244501,
796,0.007601860911,796,0.001641265,796,0.003458535764,796,0.005578167271,
795,0.007639111485,795,0.001921644667,795,0.00346083194,795,0.005700503476,
794,0.007576493081,794,0.001770736533,794,0.003472600132,794,0.005678787362,
793,0.007701158989,793,0.001802395564,793,0.00346685946,793,0.005791130476,
792,0.007561426144,792,0.001783602638,792,0.003447341966,792,0.005696910433,
791,0.007631207816,791,0.001736246864,791,0.003603923833,791,0.005671968218,
790,0.007574649062,790,0.001817212207,790,0.003540527541,790,0.005687914323,
789,0.007583526429,789,0.001691027195,789,0.003306388389,789,0.005727912765,
788,0.007517571095,788,0.001839802018,788,0.003438496962,788,0.005683036055,
787,0.007571540773,787,0.001824074774,787,0.003436644329,787,0.00583344698,
786,0.00767957978,786,0.001856543706,786,0.003490918316,786,0.005791287869,
785,0.007572778966,785,0.001880695461,785,0.003458431456,785,0.005763219204,
784,0.007642905228,784,0.001846379018,784,0.003573699156,784,0.00581259001,
783,0.007567721419,783,0.001821501297,783,0.003485855879,783,0.005722614005,
782,0.007613293827,782,0.00176098966,782,0.003501747735,782,0.00580542814,
781,0.007491866127,781,0.001755505567,781,0.003420598339,781,0.005772872362,
780,0.007603098638,780,0.001806320623,780,0.003516074503,780,0.005802306347,
779,0.007463607937,779,0.00180827023,779,0.003429599572,779,0.00572395185,
778,0.007594300434,778,0.001841439749,778,0.003483324777,778,0.005784913432,
777,0.00758036552,777,0.001877679606,777,0.003522990039,777,0.005735361949,
776,0.007555446588,776,0.001935321256,776,0.003479775973,776,0.005776413716,
775,0.007607287262,775,0.001875053858,775,0.003461640794,775,0.005818414036,
774,0.007593062241,774,0.001923386706,774,0.003472574055,774,0.005727886222,
773,0.007548756432,773,0.001810869551,773,0.003374916036,773,0.005689042155,
772,0.00745776156,772,0.001819837606,772,0.003403691808,772,0.005796429701,
771,0.007573911455,771,0.002008521929,771,0.003463728353,771,0.005876686424,
770,0.007521469146,770,0.001862029079,770,0.003466702998,770,0.005827491637,
769,0.007441013586,769,0.001802941435,769,0.003441732377,769,0.005633994471,
768,0.007626623847,768,0.001876405673,768,0.003627050668,768,0.005882904865,
767,0.007584158331,767,0.001907812548,767,0.003396256361,767,0.005718155298,
766,0.007645197213,766,0.001958255423,766,0.003604628611,766,0.005893243011,
