PN,,rb,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.003315856913,800,-0.0005759948399,
799,0.003163889982,799,-0.0005468332092,
798,0.003270707326,798,-0.0004608879972,
797,0.003193929559,797,-0.0005894891801,
796,0.003195598489,796,-0.0005791487056,
795,0.003214896191,795,-0.0005796140758,
794,0.003195103025,794,-0.0004797125875,
793,0.003223110922,793,-0.0003647354024,
792,0.003202430904,792,-0.0005472468329,
791,0.003346141893,791,-0.0004523546086,
790,0.003274984658,790,-0.0005369053688,
789,0.003374107182,789,-0.0004344080808,
788,0.003278949065,788,-0.0005169973592,
787,0.003232760122,787,-0.0005055692163,
786,0.003050790401,786,-0.0006498725852,
785,0.003396882443,785,-0.0005258397432,
784,0.003252893919,784,-0.0004334253899,
783,0.003204621375,783,-0.0004049265699,
782,0.003382455558,782,-0.0005421278183,
781,0.003381046699,781,-0.0004254603991,
780,0.003272350412,780,-0.0004254603991,
779,0.003514456563,779,-0.0003533032723,
778,0.003287113039,778,-0.0005455405335,
777,0.00327954907,777,-0.0005061897682,
776,0.003348333295,776,-0.0004470793356,
775,0.003320786869,775,-0.0005059312098,
774,0.003330412321,774,-0.0004213226784,
773,0.003353185253,773,-0.0004011507262,
772,0.003353707027,772,-0.000481005467,
771,0.003321647644,771,-0.000426546525,
770,0.003366672201,770,-0.0004651287745,
769,0.003398291301,769,-0.0003771500778,
768,0.003520902479,768,-0.0004654907971,
767,0.003385899123,767,-0.0004257707333,
766,0.00347006903,766,-0.0004654390796,
765,0.003441288602,765,-0.0005675671273,
764,0.003406640142,764,-0.000492847932,
763,0.003444732865,763,-0.0003182290238,
762,0.003557465272,762,-0.0004595950595,
761,0.00348462956,761,-0.0004267017066,
760,0.003391195089,760,-0.0004921239452,
759,0.003362367861,759,-0.0004812640254,
758,0.003478914965,758,-0.0004737653362,
757,0.003544442123,757,-0.0003675804764,
756,0.003471947741,756,-0.0003865125473,
755,0.003507071408,755,-0.0003692357568,
754,0.003546791151,754,-0.0003622524382,
753,0.003481706837,753,-0.0004039438209,
752,0.003618671559,752,-0.0003057609429,
751,0.003585600993,751,-0.0003353008942,
750,0.003574873786,750,-0.0002635944693,
749,0.003467981471,749,-0.0003538205638,
748,0.003530610353,748,-0.0003415604297,
747,0.003579623997,747,-0.0004133574548,
746,0.003539144294,746,-0.0003333868226,
745,0.003641407471,745,-0.0003024498583,
744,0.003533455078,744,-0.0003688736761,
743,0.003582860343,743,-0.0003053470573,
742,0.003621621057,742,-0.0003402671427,
741,0.003655138426,741,-0.0003632870212,
740,0.003641929477,740,-0.0003256269265,
739,0.00364101585,739,-0.0003314210044,
738,0.003728081239,738,-0.0003171426069,
737,0.003678920446,737,-0.0002601795713,
736,0.003692182479,736,-0.0002535566746,
735,0.00376011827,735,-0.0002997078409,
734,0.003772416851,734,-0.0002425355633,
733,0.003796962555,733,-0.0001826129883,
732,0.003668243065,732,-0.0002835141204,
731,0.003626946127,731,-0.0004083920503,
730,0.003701189533,730,-0.0002482272685,
729,0.003773069475,729,-0.0002900848049,
728,0.003772703931,728,-0.0002994491661,
727,0.003735052422,727,-0.0003194189048,
726,0.003734947881,726,-0.0002987766056,
725,0.003680304158,725,-0.000376115524,
724,0.003779049264,724,-0.0002879635722,
723,0.003743642475,723,-0.0004130471207,
722,0.003768160474,722,-0.0002778228663,
721,0.003738786094,721,-0.000383305538,
720,0.003758786712,720,-0.0003071578103,
719,0.003745000111,719,-0.0002922060376,
718,0.003809914924,718,-0.0003857366682,
717,0.003853553673,717,-0.0002707863459,
716,0.00382451294,716,-0.0003012082016,
715,0.003811429488,715,-0.0002891535405,
714,0.003827098291,714,-0.0003302311525,
713,0.003761345521,713,-0.0003200914362,
712,0.003849061672,712,-0.0003197810438,
711,0.003816234646,711,-0.0003362320713,
710,0.0038257665,710,-0.0003283687693,
709,0.003798451042,709,-0.0003675804764,
708,0.003914044239,708,-0.0003140385379,
707,0.003855878022,707,-0.0003439917928,
706,0.003920260817,706,-0.0002917404054,
705,0.003920103889,705,-0.0002789611171,
704,0.003890301334,704,-0.0003323521814,
703,0.003930552397,703,-0.0002935511875,
702,0.003884973237,702,-0.0003430088982,
701,0.00396372797,701,-0.0002909643517,
700,0.003932171967,700,-0.0003689253936,
699,0.003944553901,699,-0.0003477164137,
698,0.003970702644,698,-0.0003214365279,
697,0.00400516158,697,-0.0003348870378,
696,0.003984130453,696,-0.0002815480402,
